Year,Population
1970,204000665
1971,206828966
1972,209286088
1973,211360233
1974,213343944
1975,215467514
1976,217564624
1977,219762255
1978,222097449
1979,224570142
1980,227224719
1981,229465608
1982,231664496
1983,233791903
1984,235824783
1985,237923732
1986,240132841
1987,242289023
1988,244498836
1989,246819119
1990,249622814
1991,252980941
1992,256514224
1993,259918588
1994,263125821
1995,266278393
1996,269394284
1997,272646925
1998,275854104
1999,279040168
2000,282162411
2001,284968955
2002,287625193
2003,290107933
2004,292805298
2005,295516599
2006,298379912
2007,301231207
2008,304093966
2009,306771529
2010,309349689
2011,311582564
2012,313873685
2013,316128839